id,nhom_chinh,ma_dich_vu,ten_dich_vu,nhom_dich_vu,bk_e
83,BCCP,PHBC_DEFAULT,Phát hành báo chí,Phát hành báo chí,
85,HCC,CT_LH,"Chi trả lương hưu, bảo hiểm xã hội",Chi trả,
86,HCC,CT_NCC,Chi trả người có công,Chi trả,
87,HCC,CT_BTXH,Chi trả bảo trợ xã hội,Chi trả,
88,HCC,QLNH,Quản lý người hưởng,Chi trả,
89,HCC,CSHT,CSHT,CSHT,
90,TCBC,TK_TT,Tiết kiệm truyền thống,Tiết kiệm & Tín dụng,
91,TCBC,TD,Tín dụng,Tiết kiệm & Tín dụng,
92,TCBC,PTI,PTI,PTI,
93,TCBC,DIEN,Thu tiền điện,Thu tiền điện & Chuyển tiền,
94,TCBC,BHXH-BHYT,BHXH-BHYT,BHXH-BHYT,
95,TCBC,DV_CT,Dịch vụ chuyển tiền,Thu tiền điện & Chuyển tiền,
96,PPBL,B2B,Hàng bán sỉ,Hàng bán sỉ,
97,PPBL,B2C,Hàng tiêu dùng bán lẻ,Hàng tiêu dùng bán lẻ,
98,TCBC,TK_OL,Tiết kiệm online,Tiết kiệm & Tín dụng,
1108,BCCP,CTN001,Chuyển phát tiêu chuẩn,Truyền thống,BK
1109,BCCP,CTN012,Chuyển phát Quà tặng Tiêu chuẩn,Truyền thống,BK
1110,BCCP,CTN015,Chuyển phát Nông sản,Truyền thống,BK
1111,BCCP,CTN016,Chuyển phát Tiêu chuẩn đồng giá,Truyền thống,BK
1112,BCCP,ETN001,EMS Premium Tài liệu,Truyền thống,EMS
1113,BCCP,ETN003,EMS hỏa tốc,Truyền thống,EMS
1114,BCCP,ETN011,EMS Premium Hàng hóa,Truyền thống,EMS
1115,BCCP,ETN013,EMS hỏa tốc,Truyền thống,EMS
1116,BCCP,ETN029,EMS Thư đồng giá,Truyền thống,EMS
1117,BCCP,ETN030,EMS HSXT,Truyền thống,EMS
1118,BCCP,ETN034,EMS tài chính ngân hàng gói tiêu chuẩn,Truyền thống,EMS
1119,BCCP,ETN036,EMS tài chính ngân hàng gói vàng,Truyền thống,EMS
1120,BCCP,ETN039,EMS chuyên tuyến,Truyền thống,EMS
1121,BCCP,ETN044,EMS Last Mile Premium,Truyền thống,EMS
1122,BCCP,ETN045,EMS Lastmile Standard A,Truyền thống,EMS
1123,BCCP,ETN047,Chuyển phát nhanh EMS Quà Tặng,Truyền thống,EMS
1124,BCCP,ETN049,EMS Tài liệu – Gói ưu đãi,Truyền thống,EMS
1125,BCCP,ETN050,EMS Hàng hoá nhanh – Gói ưu đãi,Truyền thống,EMS
1126,BCCP,KT1001,KT1,Truyền thống,BK
1127,BCCP,KT1002,KT1 Hỏa tốc,Truyền thống,BK
1128,BCCP,KT1003,KT1 Hẹn giờ,Truyền thống,BK
1129,BCCP,KT1004,KT1 Hỏa tốc Hẹn giờ,Truyền thống,BK
1130,BCCP,KT1005,KTI A,Truyền thống,BK
1131,BCCP,KT1006,KT1 B,Truyền thống,BK
1132,BCCP,KT1007,KTI C,Truyền thống,BK
1133,BCCP,KT1008,KT1 Hỏa tốc - A,Truyền thống,BK
1134,BCCP,KT1009,KT1 Hỏa tốc - B,Truyền thống,BK
1135,BCCP,KT1010,KT1 Hỏa tốc - C,Truyền thống,BK
1136,BCCP,KT1011,KT1 Hỏa tốc Hẹn giờ - A,Truyền thống,BK
1137,BCCP,KT1012,KT1 Hỏa tốc Hẹn giờ - B,Truyền thống,BK
1138,BCCP,KT1013,KT1 Hỏa tốc Hẹn giờ - C,Truyền thống,BK
1139,BCCP,KT1014,KT1 Hẹn giờ - A,Truyền thống,BK
1140,BCCP,KT1015,KT1 Hẹn giờ - B,Truyền thống,BK
1141,BCCP,KT1016,KT1 Hẹn giờ - C,Truyền thống,BK
1142,BCCP,RTN001,Bưu phẩm bảo đảm,Truyền thống,BK
1143,BCCP,RTN004,Bưu phẩm bảo đảm đồng giá,Truyền thống,BK
1144,BCCP,TTN001,Bưu phẩm thường - Thư,Truyền thống,BK
1145,BCCP,TTN003,Bưu phẩm thường - Ấn phẩm,Truyền thống,BK
1146,BCCP,TTN006,Bưu phẩm KĐC,Truyền thống,BK
1147,BCCP,CTN007,Chuyển phát Tiêu chuẩn Thương mại điện tử,TMĐT,BK
1148,BCCP,CTN008,Tiêu chuẩn sàn Thương mại điện tử,TMĐT,BK
1149,BCCP,CTN009,Chuyển phát Tiêu chuẩn TMĐT đồng giá - gói Cơ bản,TMĐT,BK
1150,BCCP,CTN019,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Bạc,TMĐT,BK
1151,BCCP,CTN020,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Vàng,TMĐT,BK
1152,BCCP,CTN022,Chuyển phát Tiêu chuẩn TMĐT đồng giá - Gói Kim Cương,TMĐT,BK
1153,BCCP,ETN031,Chuyển phát nhanh EMS Thương mại điện tử,TMĐT,EMS
1154,BCCP,ETN037,Chuyển phát nhanh EMS Thương mại điện tử đồng giá,TMĐT,EMS
1155,BCCP,ETN048,EMS Thương mại điện tử Eco,TMĐT,EMS
