ma_BC,ten_Buu_cuc,ma_BDX,ten_BDX,ten_Cum
4724_V,4724_VP - Văn phòng Bưu điện Anh Sơn,4724,BCVH Anh Sơn,Anh Sơn
472413,472413 - VP BĐH Anh Sơn,4724,BCVH Anh Sơn,Anh Sơn
472415,472415 - KHL Anh Sơn,4724,BCVH Anh Sơn,Anh Sơn
472460,472460 - BCP Anh Sơn,4724,BCVH Anh Sơn,Anh Sơn
472400,472400 - Anh Sơn,4670,Bưu điện xã Anh Sơn,Anh Sơn
472420,472420 - Thạch Sơn,4670,Bưu điện xã Anh Sơn,Anh Sơn
472600,472600 - Đức Sơn,4670,Bưu điện xã Anh Sơn,Anh Sơn
472850,472850 - Phúc Sơn,4670,Bưu điện xã Anh Sơn,Anh Sơn
472540,472540 - Lạng Sơn,4673,Bưu điện xã Anh Sơn Đông,Anh Sơn
472560,472560 - Tào Sơn,4673,Bưu điện xã Anh Sơn Đông,Anh Sơn
472580,472580 - Vĩnh Sơn,4673,Bưu điện xã Anh Sơn Đông,Anh Sơn
472680,472680 - Hùng Sơn,4672,Bưu điện xã Nhân Hòa,Anh Sơn
472750,472750 - Cẩm Sơn,4672,Bưu điện xã Nhân Hòa,Anh Sơn
472770,472770 - Cây Chanh,4672,Bưu điện xã Nhân Hòa,Anh Sơn
472771,472771 - Đỉnh Sơn,4672,Bưu điện xã Nhân Hòa,Anh Sơn
472800,472800 - Tam Sơn,4672,Bưu điện xã Nhân Hòa,Anh Sơn
472630,472630 - Bình Sơn,4675,Bưu điện xã Thành Bình Thọ,Anh Sơn
472660,472660 - Thọ Sơn,4675,Bưu điện xã Thành Bình Thọ,Anh Sơn
472700,472700 - Thành Sơn,4675,Bưu điện xã Thành Bình Thọ,Anh Sơn
472401,472401 - Hội Sơn,4741,Bưu điện xã Vĩnh Tường,Anh Sơn
472720,472720 - Chợ Dừa,4741,Bưu điện xã Vĩnh Tường,Anh Sơn
472721,472721 - Tường Sơn,4741,Bưu điện xã Vĩnh Tường,Anh Sơn
472820,472820 - Hoa Sơn,4741,Bưu điện xã Vĩnh Tường,Anh Sơn
472440,472440 - Long Sơn,4671,Bưu điện xã Yên Xuân,Anh Sơn
472470,472470 - Cao Sơn,4671,Bưu điện xã Yên Xuân,Anh Sơn
472490,472490 - Lĩnh Sơn,4671,Bưu điện xã Yên Xuân,Anh Sơn
